Var1,Var2,Correlation
F_HVM,RPL_HVM,1.0
EPL_IMPWTR,SPL_EBM_DOM5,1.0
EPL_IMPWTR,RPL_EBM_DOM5,1.0
SPL_EBM_DOM5,RPL_EBM_DOM5,1.0
SPL_CBM_DOM1,RPL_CBM_DOM1,1.0
EPL_NEHD,RPL_CBM_DOM1,1.0
EPL_MINRTY,SPL_SVM_DOM1,1.0
EPL_MINRTY,RPL_SVM_DOM1,1.0
SPL_SVM_DOM1,RPL_SVM_DOM1,1.0
EPL_NEHD,SPL_CBM_DOM1,1.0
GEOID,GEOID_2020,0.9999996193113215
STATEFP,GEOID_2020,0.9999829594335553
STATEFP,GEOID,0.9999828623597683
E_HOUAGE,EPL_HOUAGE,0.9962874642359981
SPL_SVM_DOM2,RPL_SVM_DOM2,0.9951765083112698
SPL_SER,RPL_SER,0.9936410343590286
E_WLKIND,EPL_WLKIND,-0.9933654686946577
SPL_SVM,RPL_SVM,0.9924123761800845
SPL_SVM_DOM4,RPL_SVM_DOM4,0.9918998181615937
E_PARK,EPL_PARK,-0.9916986080639059
SPL_EJI,RPL_EJI,0.9910617519474694
SPL_EBM_DOM1,RPL_EBM_DOM1,0.9907592352044627
EPL_SMOKE,RPL_CBM_DOM2,0.9888769832544462
E_ROAD,EPL_ROAD,0.9881936203888617
SPL_EJI_CBM,RPL_EJI_CBM,0.9880211456004047
SPL_EBM,RPL_EBM,0.9873267431689473
E_IMPWTR,RPL_EBM_DOM5,0.9871945985290953
E_IMPWTR,SPL_EBM_DOM5,0.9871945985290953
E_IMPWTR,EPL_IMPWTR,0.9871945985290953
SPL_CBM_DOM3,RPL_CBM_DOM3,0.9848241951819264
SPL_EBM_DOM3,RPL_EBM_DOM3,0.9844314311577961
SPL_EBM_DOM4,RPL_EBM_DOM4,0.9822034038015613
SPL_EBM_DOM2,RPL_EBM_DOM2,0.9820817118219979
E_NEHD,EPL_NEHD,0.9782686639750597
E_NEHD,RPL_CBM_DOM1,0.9782686639750597
E_NEHD,SPL_CBM_DOM1,0.9782686639750597
SPL_CBM_DOM2,RPL_CBM_DOM2,0.977496036854427
E_MINRTY,SPL_SVM_DOM1,0.9759623387725647
E_MINRTY,EPL_MINRTY,0.9759623387725647
E_MINRTY,RPL_SVM_DOM1,0.9759623387725647
SPL_CBM,RPL_CBM,0.975104184730176
E_POV200,EPL_POV200,0.9687308865068408
E_RENTER,EPL_RENTER,0.9635869261136145
SPL_SVM_DOM3,RPL_SVM_DOM3,0.9614283139178316
E_ASTHMA,EPL_ASTHMA,0.9583781843746527
EPL_SMOKE,SPL_CBM_DOM2,0.9580392979988362
E_HOUBDN,EPL_HOUBDN,0.9578058154557889
E_CHD,EPL_CHD,0.955744009527141
E_CANCER,EPL_CANCER,0.9550518405644925
E_MHLTH,EPL_MHLTH,0.9538764932572588
E_AGE17,EPL_AGE17,0.9512601372377065
E_DIABETES,EPL_DIABETES,0.9421929077413058
EPL_TRND,F_TRND,0.9417599457497052
E_SMOKE,EPL_SMOKE,0.9387111332672445
E_SWND,EPL_SWND,0.9358119017843289
RPL_SVM_DOM2,RPL_SVM,0.9351957162936806
SPL_SVM_DOM2,SPL_SVM,0.9331026695083503
E_DISABL,EPL_DISABL,0.932300069701177
SPL_SVM_DOM2,RPL_SVM,0.9311706342140011
E_CFLD,EPL_CFLD,0.9300659580711987
RPL_SVM_DOM2,SPL_SVM,0.9289084751407486
E_SMOKE,RPL_CBM_DOM2,0.9265081300861098
E_SMOKE,SPL_CBM_DOM2,0.9187650760326905
E_NOINT,EPL_NOINT,0.9182110115956249
E_RAIL,EPL_RAIL,0.9164840243907872
E_RFLD,EPL_RFLD,0.9161851140441758
E_DRGT,EPL_DRGT,0.9152217780082836
NHPI,E_NHPI,0.9057363463978972
AIAN,E_AIAN,0.9041189568512498
OTHERRACE,E_OTHERRACE,0.9001791947106651
