Variable,VIF
STATEFP,inf
EPL_PM,8378790004410.226
SPL_SVM,4642886213784.017
SPL_EBM,4232706416701.5938
SPL_EJI,2547284857110.0093
RPL_SVM,2518087574710.9287
RPL_EBM_DOM5,2122837439250.7642
SPL_EBM_DOM5,2122837439250.7642
EPL_WLKIND,2108426791840.1199
GEOID,1770282872394.063
SPL_EBM_DOM1,1241173936163.8408
EPL_TRND,1144643443225.4407
EPL_NEHD,1003811351247.185
SPL_CBM_DOM1,1003811351247.185
RPL_CBM_DOM1,1003811351247.185
EPL_HOUAGE,626239258481.6096
SPL_EJI_CBM,610492019434.7968
EPL_DRGT,559383881178.7971
SPL_CBM_DOM2,406058933132.31415
EPL_UNEMP,405821097307.5464
EPL_DSLPM,300922065172.4239
SPL_CBM,284363038823.7093
F_MHLTH,241810498395.68826
SPL_SVM_DOM1,217949506490.69595
EPL_MINRTY,217949506490.69595
RPL_SVM_DOM1,217949506490.69595
SPL_CBM_DOM3,215761971320.3898
EPL_BURN,197495982080.40414
SPL_SVM_DOM2,178629209399.11536
SPL_EBM_DOM3,164403950841.27606
EPL_AGE65,147659004176.08185
EPL_AGE17,146012178296.28116
F_DIABETES,134884754552.33078
EPL_NOINT,130945239652.56
EPL_IMPWTR,126165386244.13089
F_CANCER,108425111103.98074
EPL_CFLD,108259606427.17538
F_HVM,106245789008.11531
EPL_ROAD,92964105881.37964
SPL_EBM_DOM2,85395722768.60132
EPL_MOBILE,84637423579.37805
EPL_GROUPQ,80624422695.9039
EPL_SMOKE,70975361722.38501
F_CHD,55582154214.33239
EPL_RFLD,54876439384.05342
EPL_RAIL,52555660124.2881
EPL_TOTCR,48617396809.690834
EPL_COAL,48226156528.03444
EPL_PARK,45312857835.077286
SPL_SVM_DOM4,40819356724.10492
EPL_UNINSUR,39216809931.95223
RPL_CBM,39072209566.51929
EPL_NPL,37577908728.38282
EPL_DISABL,23528918103.154514
EPL_TSD,22278669529.432552
EPL_TRI,20565461781.648335
EPL_RENTER,19212120527.40123
EPL_POV200,18040051462.66189
EPL_OZONE,16285497521.594471
SPL_SER,13857400175.295992
RPL_HVM,12946009786.174927
EPL_RMP,11579579733.343864
SPL_SVM_DOM3,11123239925.139908
RPL_EBM,9407271705.847265
F_ASTHMA,9356729231.928928
SPL_EBM_DOM4,8465301447.857821
EPL_AIRPRT,6505779198.970447
EPL_SWND,3843991779.895259
EPL_HOUBDN,2963892855.600371
EPL_HRCN,2675839417.1632547
EPL_LIMENG,1461941151.7577221
EPL_NOHSDP,368532408.7047742
COUNTYFP,53991946.58871173
GEOID_2020,4694846.039967609
E_MINRTY,134746.42211420293
E_AIAN,79710.64876580879
E_HISP,58407.814587592664
E_AFAM,37725.57470585241
TRACTCE,4143.139707852261
E_TWOMORE,3281.8654648345973
E_ASIAN,1818.7430875750383
RPL_SVM_DOM2,295.7098184743037
E_OTHERRACE,216.2288777320395
RPL_EJI,170.47237119646462
E_HOUAGE,167.97392332422592
RPL_SER,156.08139702575806
RPL_EBM_DOM1,103.98038470456311
E_NHPI,92.90723838382712
RPL_EBM_DOM2,92.19461749762478
E_PARK,83.82487549082235
E_WLKIND,77.75914005258845
RPL_EJI_CBM,76.0484612683411
RPL_CBM_DOM3,61.96064838496072
RPL_SVM_DOM4,52.34846615874089
E_SWND,50.27792417330169
E_POV200,46.937178356728886
EPL_CANCER,45.805427950555625
E_CANCER,44.19492499190763
E_NEHD,43.51369114605467
RPL_EBM_DOM4,42.097871014407346
RPL_CBM_DOM2,40.604141261666705
E_MHLTH,39.65594146550679
E_DIABETES,39.33051644804183
E_CHD,36.21743518986745
RPL_EBM_DOM3,33.76092910851864
EPL_MHLTH,32.91335430282217
EPL_DIABETES,31.507688144979745
EPL_CHD,31.49147210265829
E_RENTER,30.514954425866385
E_ASTHMA,30.40563301218878
E_DSLPM,28.06528328267564
E_ROAD,27.538074474375275
E_IMPWTR,26.053806705002323
E_HOUBDN,24.45158530088799
RPL_SVM_DOM3,23.591032152013764
EPL_ASTHMA,20.227025581491368
E_AGE17,19.56743833632911
E_AGE65,15.997658182115316
E_SMOKE,15.168471918977806
F_TRND,13.604083462929227
E_HRCN,12.595442438533375
E_NOHSDP,11.585934307236439
E_DRGT,11.557994393868807
E_CFLD,11.379921549759455
HISP,10.572674868073747
E_TOTCR,10.376666147283117
TWOMORE,9.259354212247507
AFAM,8.654549878976955
NHPI,8.338482677388113
E_NOINT,7.915809894821775
E_RFLD,7.760323327179199
E_DISABL,7.692012787150032
E_TOTPOP,7.391656833320369
F_HRCN,7.00355109943185
AIAN,6.8601055223423915
E_UNINSUR,6.8347046606273505
ASIAN,6.244982361574736
E_RAIL,5.777533142479712
E_TRI,5.440987957385287
E_UNEMP,5.183122209227764
E_LIMENG,5.08537978915108
F_CFLD,4.924150123980199
Tribe_Flag,4.805242791840398
E_TRND,3.920288435704502
OTHERRACE,3.8092749354362905
E_PM,3.445736459196146
E_TSD,3.1336289117871976
Tribe_PCT_Tract,3.1012755176409637
E_BURN,3.017019100220423
M_TOTPOP,2.8846961177162767
E_MOBILE,2.8512920449161308
F_DRGT,2.6948766956823316
E_RMP,2.504903627891547
E_GROUPQ,2.4228621816636515
E_COAL,2.215774541512092
F_RFLD,1.9543623691429348
E_OZONE,1.924153346619509
E_DAYPOP,1.8829457841131072
E_AIRPRT,1.6084272974328677
E_NPL,1.5102675438261821
F_IMPWTR,1.2111158816667555
F_SWND,1.1065761681995814
E_LEAD,
EPL_LEAD,
